Match_ID,Date,Competition,Home_Team,Away_Team,Home_Rank,Away_Rank,Home_Elo,Away_Elo,Home_Goals,Away_Goals,Goal_Diff,Home_Form,Away_Form,Home_Win_Pct,Away_Win_Pct,Clean_Sheet_Pct,Host_Advantage,Continent_Advantage,Result,Year,Month,Total Goals,Rank Difference,Teams,Total Match Played,Total Win,Win %,Trim Home_TEAM,Trim Away_TEAM,Team,,
20,21-01-2015,WC Qualifier,Austria,Switzerland,20,20,1819,1834,1,3,-2,4.65,4.48,42,59,54,0,0,Away Win,2015,1,4,0,Belgium,64,27,42.19,Austria,Switzerland,Belgium,,
21,22-01-2015,World Cup,Brazil,Croatia,16,11,1943,1904,2,0,2,3.95,4.74,74,79,28,1,1,Home Win,2015,1,2,5,Sweden,64,31,48.44,Brazil,Croatia,Sweden,,
22,23-01-2015,WC Qualifier,Japan,Denmark,16,22,2161,2002,0,0,0,2.44,4.25,74,62,35,1,0,Draw,2015,1,0,-6,South Korea,53,22,41.51,Japan,Denmark,South Korea,,
23,24-01-2015,Nations League,Germany,Portugal,1,7,1905,1909,3,4,-1,4.67,3.65,68,53,33,1,0,Away Win,2015,1,7,-6,Senegal,85,39,45.88,Germany,Portugal,Senegal,,
24,25-01-2015,World Cup,Japan,Brazil,29,25,1831,2071,2,5,-3,4.47,3.84,76,72,27,0,0,Away Win,2015,1,7,4,Canada,63,30,47.62,Japan,Brazil,Canada,,
25,26-01-2015,Nations League,Croatia,Netherlands,18,22,1872,2144,2,0,2,2.47,4.38,71,84,40,1,0,Home Win,2015,1,2,-4,Switzerland,79,30,37.97,Croatia,Netherlands,Switzerland,,
26,27-01-2015,Friendly,Norway,Sweden,16,12,2147,1798,1,5,-4,3.82,3.92,64,83,41,1,1,Away Win,2015,1,6,4,Turkey,67,22,32.84,Norway,Sweden,Turkey,,
27,28-01-2015,Continental Cup,Mexico,Sweden,4,22,1911,2112,3,3,0,2.23,4.78,58,41,63,0,0,Draw,2015,1,6,-18,Denmark,67,29,43.28,Mexico,Sweden,Denmark,,
28,29-01-2015,World Cup,Portugal,Canada,10,19,1909,1865,3,2,1,4.3,2.2,68,44,42,1,1,Home Win,2015,1,5,-9,Nigeria,68,33,48.53,Portugal,Canada,Nigeria,,
29,30-01-2015,Continental Cup,England,Portugal,13,22,1972,1783,0,0,0,3.31,3.62,65,76,64,1,1,Draw,2015,1,0,-9,Spain,57,23,40.35,England,Portugal,Spain,,
30,31-01-2015,World Cup,Croatia,Austria,25,22,2116,2063,2,1,1,4.4,3.42,71,78,65,1,0,Home Win,2015,1,3,3,France,73,37,50.68,Croatia,Austria,France,,
31,01-02-2015,Nations League,Colombia,Italy,13,20,1888,1880,3,4,-1,4.95,3.08,73,52,59,0,0,Away Win,2015,2,7,-7,,,,,Colombia,Italy,,,
32,02-02-2015,Friendly,Mexico,Senegal,8,13,2083,1898,4,3,1,4.04,3.99,79,66,42,0,1,Home Win,2015,2,7,-5,,,,,Mexico,Senegal,,,
33,03-02-2015,WC Qualifier,Morocco,Germany,13,6,1770,2008,2,3,-1,2.9,3.56,78,81,48,1,1,Away Win,2015,2,5,7,,,,,Morocco,Germany,,,
34,04-02-2015,Continental Cup,Norway,Morocco,1,15,2046,2025,4,1,3,2.88,2.67,69,83,47,0,0,Home Win,2015,2,5,-14,,,,,Norway,Morocco,,,
35,05-02-2015,Continental Cup,USA,Brazil,30,1,2091,1917,1,5,-4,3.13,3.54,73,48,40,0,1,Away Win,2015,2,6,29,,,,,USA,Brazil,,,
36,06-02-2015,Nations League,Argentina,Croatia,15,22,2116,1904,1,5,-4,2.63,2.02,82,46,60,1,0,Away Win,2015,2,6,-7,,,,,Argentina,Croatia,,,
37,07-02-2015,World Cup,England,South Korea,15,17,1793,1942,3,2,1,4.35,3.57,43,40,35,0,0,Home Win,2015,2,5,-2,,,,,England,South Korea,,,
38,08-02-2015,WC Qualifier,Mexico,Australia,7,1,2008,2043,5,2,3,3.31,2.91,50,58,29,1,0,Home Win,2015,2,7,6,,,,,Mexico,Australia,,,
39,09-02-2015,WC Qualifier,Portugal,Australia,22,17,1927,2131,3,1,2,2.97,4.05,84,48,36,1,1,Home Win,2015,2,4,5,,,,,Portugal,Australia,,,
40,10-02-2015,Continental Cup,Austria,Australia,20,17,2105,2200,2,3,-1,4.09,3.76,49,71,53,0,0,Away Win,2015,2,5,3,,,,,Austria,Australia,,,
41,11-02-2015,Friendly,Uruguay,Poland,14,10,1935,1809,5,2,3,2.84,3.19,84,61,26,0,1,Home Win,2015,2,7,4,,,,,Uruguay,Poland,,,
42,12-02-2015,World Cup,Portugal,Poland,14,2,2125,2065,3,5,-2,2.94,2.7,83,68,58,0,0,Away Win,2015,2,8,12,,,,,Portugal,Poland,,,
43,13-02-2015,Continental Cup,Netherlands,Belgium,7,29,1991,1889,5,0,5,4,2.39,49,83,47,1,1,Home Win,2015,2,5,-22,,,,,Netherlands,Belgium,,,
44,14-02-2015,Continental Cup,Belgium,Uruguay,30,30,2192,1922,4,3,1,4.81,2.54,61,74,61,1,0,Home Win,2015,2,7,0,,,,,Belgium,Uruguay,,,
45,15-02-2015,World Cup,Netherlands,Denmark,26,18,1929,2157,3,4,-1,3.65,3.45,46,42,58,0,1,Away Win,2015,2,7,8,,,,,Netherlands,Denmark,,,
46,16-02-2015,World Cup,Colombia,Morocco,6,26,1982,2061,3,0,3,4.31,2.51,60,84,44,0,0,Home Win,2015,2,3,-20,,,,,Colombia,Morocco,,,
47,17-02-2015,World Cup,Japan,Senegal,5,24,2158,1884,2,4,-2,2.3,2.22,59,64,35,1,1,Away Win,2015,2,6,-19,,,,,Japan,Senegal,,,
48,18-02-2015,Friendly,Croatia,Australia,17,29,2098,1831,4,2,2,2.62,4.05,73,48,53,1,0,Home Win,2015,2,6,-12,,,,,Croatia,Australia,,,
49,19-02-2015,World Cup,Sweden,Argentina,5,6,2034,2058,1,5,-4,2.68,3.01,59,69,29,1,0,Away Win,2015,2,6,-1,,,,,Sweden,Argentina,,,
50,20-02-2015,Nations League,South Korea,Turkey,7,20,2125,2108,4,0,4,3.37,2.56,50,40,49,0,1,Home Win,2015,2,4,-13,,,,,South Korea,Turkey,,,
51,21-02-2015,Nations League,Senegal,Morocco,27,1,2090,2104,2,2,0,3.9,2.01,62,51,26,1,1,Draw,2015,2,4,26,,,,,Senegal,Morocco,,,
52,22-02-2015,WC Qualifier,Morocco,USA,3,15,1912,1939,1,4,-3,2.9,3.64,67,48,32,0,0,Away Win,2015,2,5,-12,,,,,Morocco,USA,,,
53,23-02-2015,WC Qualifier,Portugal,Belgium,14,28,2065,2152,0,4,-4,3.66,4.13,81,52,47,0,0,Away Win,2015,2,4,-14,,,,,Portugal,Belgium,,,
54,24-02-2015,World Cup,Colombia,Denmark,11,12,2191,1846,4,3,1,4.58,3.91,64,75,52,0,1,Home Win,2015,2,7,-1,,,,,Colombia,Denmark,,,
55,25-02-2015,Continental Cup,Germany,Poland,5,12,2191,2168,1,1,0,4.16,3.97,59,58,44,0,0,Draw,2015,2,2,-7,,,,,Germany,Poland,,,
56,26-02-2015,Nations League,Argentina,Portugal,17,27,2138,2131,5,0,5,3.08,4.27,77,71,44,1,1,Home Win,2015,2,5,-10,,,,,Argentina,Portugal,,,
57,27-02-2015,Nations League,Morocco,France,22,21,1856,1886,2,1,1,4.71,4.46,65,82,43,1,0,Home Win,2015,2,3,1,,,,,Morocco,France,,,
58,28-02-2015,WC Qualifier,Sweden,France,9,2,2147,1949,4,0,4,4.63,3.36,43,41,62,1,0,Home Win,2015,2,4,7,,,,,Sweden,France,,,
59,01-03-2015,World Cup,Croatia,Germany,2,15,1802,2163,0,5,-5,2.64,2.14,46,85,56,1,0,Away Win,2015,3,5,-13,,,,,Croatia,Germany,,,
60,02-03-2015,Nations League,Argentina,Portugal,18,2,1987,2087,5,3,2,2.75,3.14,80,59,30,0,0,Home Win,2015,3,8,16,,,,,Argentina,Portugal,,,
61,03-03-2015,Friendly,Canada,Australia,10,24,2171,1893,3,3,0,2.71,4.4,67,82,27,1,0,Draw,2015,3,6,-14,,,,,Canada,Australia,,,
62,04-03-2015,Nations League,Norway,Colombia,30,19,2146,1976,4,0,4,3.32,3.63,68,56,33,1,0,Home Win,2015,3,4,11,,,,,Norway,Colombia,,,
63,05-03-2015,Continental Cup,Morocco,Switzerland,11,12,2163,1815,2,1,1,2.47,4.2,67,58,53,1,0,Home Win,2015,3,3,-1,,,,,Morocco,Switzerland,,,
64,06-03-2015,World Cup,Belgium,Poland,19,14,2182,2047,5,2,3,4.4,4.13,76,64,59,1,0,Home Win,2015,3,7,5,,,,,Belgium,Poland,,,
65,07-03-2015,Friendly,Germany,Serbia,8,22,1998,2048,1,2,-1,4.39,2,59,48,58,0,1,Away Win,2015,3,3,-14,,,,,Germany,Serbia,,,
66,08-03-2015,World Cup,Switzerland,Argentina,9,18,1973,1762,5,3,2,2.63,3.78,65,40,38,0,1,Home Win,2015,3,8,-9,,,,,Switzerland,Argentina,,,
67,09-03-2015,Friendly,Argentina,Poland,5,18,1796,2149,5,2,3,3.14,3.85,73,80,52,0,0,Home Win,2015,3,7,-13,,,,,Argentina,Poland,,,
68,10-03-2015,World Cup,Turkey,Brazil,6,1,2036,1883,3,3,0,3.07,3,82,44,27,0,1,Draw,2015,3,6,5,,,,,Turkey,Brazil,,,
69,11-03-2015,World Cup,Sweden,Canada,30,24,2144,2016,5,0,5,2.86,2.82,47,44,40,0,0,Home Win,2015,3,5,6,,,,,Sweden,Canada,,,
70,12-03-2015,Continental Cup,Japan,Spain,8,21,1965,2087,5,0,5,2.82,3.04,48,68,47,0,1,Home Win,2015,3,5,-13,,,,,Japan,Spain,,,
71,13-03-2015,World Cup,Serbia,Uruguay,13,29,1770,1885,4,3,1,3.73,2.91,85,65,37,1,1,Home Win,2015,3,7,-16,,,,,Serbia,Uruguay,,,
72,14-03-2015,WC Qualifier,Australia,Netherlands,11,18,2074,2084,3,0,3,4.72,2.5,72,57,44,0,0,Home Win,2015,3,3,-7,,,,,Australia,Netherlands,,,
73,15-03-2015,WC Qualifier,Denmark,Switzerland,23,28,2188,1966,3,3,0,4.07,4.95,78,44,59,0,1,Draw,2015,3,6,-5,,,,,Denmark,Switzerland,,,
74,16-03-2015,Continental Cup,Senegal,England,18,17,2011,1786,4,2,2,2.02,2.5,43,52,25,0,0,Home Win,2015,3,6,1,,,,,Senegal,England,,,
75,17-03-2015,Friendly,Austria,Netherlands,28,13,2146,1771,0,2,-2,2.54,4.21,57,45,27,0,0,Away Win,2015,3,2,15,,,,,Austria,Netherlands,,,
76,18-03-2015,WC Qualifier,Poland,Morocco,7,20,2103,2107,1,5,-4,2.92,3.6,65,71,33,1,1,Away Win,2015,3,6,-13,,,,,Poland,Morocco,,,
77,19-03-2015,WC Qualifier,USA,England,6,23,1868,1766,2,3,-1,3.28,4.19,60,80,51,1,1,Away Win,2015,3,5,-17,,,,,USA,England,,,
78,20-03-2015,Continental Cup,Portugal,Brazil,28,7,2094,2160,4,5,-1,3.94,3.08,82,69,45,0,1,Away Win,2015,3,9,21,,,,,Portugal,Brazil,,,
79,21-03-2015,World Cup,South Korea,Croatia,16,11,2039,1926,1,0,1,2.78,3.17,62,48,59,1,1,Home Win,2015,3,1,5,,,,,South Korea,Croatia,,,
80,22-03-2015,World Cup,Nigeria,Colombia,4,6,2036,1845,0,0,0,2.04,2.59,83,72,32,0,1,Draw,2015,3,0,-2,,,,,Nigeria,Colombia,,,
81,23-03-2015,World Cup,Netherlands,Mexico,23,30,1858,1813,2,0,2,3.36,4.17,51,51,51,0,0,Home Win,2015,3,2,-7,,,,,Netherlands,Mexico,,,
82,24-03-2015,Continental Cup,Spain,Switzerland,1,3,1973,2046,5,2,3,3.89,2.51,52,40,33,1,0,Home Win,2015,3,7,-2,,,,,Spain,Switzerland,,,
83,25-03-2015,Friendly,Morocco,Sweden,1,8,2093,2049,3,2,1,2.17,2.45,41,80,40,0,0,Home Win,2015,3,5,-7,,,,,Morocco,Sweden,,,
84,26-03-2015,Continental Cup,Denmark,Norway,2,14,1945,1966,0,4,-4,2.6,3.57,71,43,64,1,1,Away Win,2015,3,4,-12,,,,,Denmark,Norway,,,
85,27-03-2015,Nations League,Brazil,Japan,13,26,1964,2106,0,3,-3,4.77,2.4,76,57,37,1,1,Away Win,2015,3,3,-13,,,,,Brazil,Japan,,,
86,28-03-2015,Nations League,Senegal,Japan,5,24,1888,1937,2,5,-3,4.81,4.28,85,77,61,1,0,Away Win,2015,3,7,-19,,,,,Senegal,Japan,,,
87,29-03-2015,Continental Cup,Mexico,Portugal,14,26,1911,2079,0,4,-4,2.51,4.47,81,55,30,0,1,Away Win,2015,3,4,-12,,,,,Mexico,Portugal,,,
88,30-03-2015,WC Qualifier,Argentina,Austria,3,30,1786,1895,1,4,-3,2.9,4.76,41,46,53,1,1,Away Win,2015,3,5,-27,,,,,Argentina,Austria,,,
89,31-03-2015,WC Qualifier,Colombia,Spain,30,11,1750,2015,4,5,-1,4.96,4.09,58,81,32,1,0,Away Win,2015,3,9,19,,,,,Colombia,Spain,,,
90,01-04-2015,Nations League,Netherlands,Japan,4,11,1887,1849,2,1,1,3.5,4.5,85,40,29,0,1,Home Win,2015,4,3,-7,,,,,Netherlands,Japan,,,
91,02-04-2015,Friendly,Germany,Denmark,25,11,2106,2106,5,3,2,4.98,4.78,82,64,48,1,0,Home Win,2015,4,8,14,,,,,Germany,Denmark,,,
92,03-04-2015,Continental Cup,Germany,Poland,11,21,1951,1957,5,0,5,4.57,3.06,80,62,40,0,0,Home Win,2015,4,5,-10,,,,,Germany,Poland,,,
93,04-04-2015,Continental Cup,Switzerland,Spain,22,1,1997,1968,5,5,0,4.54,2.93,58,48,33,0,1,Draw,2015,4,10,21,,,,,Switzerland,Spain,,,
94,05-04-2015,WC Qualifier,Colombia,Italy,6,6,2086,1876,3,2,1,3.8,5,63,69,42,0,1,Home Win,2015,4,5,0,,,,,Colombia,Italy,,,
95,06-04-2015,Continental Cup,Canada,Brazil,24,2,2173,2036,4,4,0,4.94,4.57,55,73,62,0,0,Draw,2015,4,8,22,,,,,Canada,Brazil,,,
96,07-04-2015,WC Qualifier,Poland,Denmark,25,24,2071,1888,1,5,-4,3.21,3.51,50,50,47,0,1,Away Win,2015,4,6,1,,,,,Poland,Denmark,,,
97,08-04-2015,World Cup,Japan,France,4,28,2008,1895,4,1,3,2.32,2.23,85,61,26,1,1,Home Win,2015,4,5,-24,,,,,Japan,France,,,
98,09-04-2015,Friendly,Turkey,South Korea,10,22,2082,1751,3,3,0,2.74,3.16,82,82,43,0,1,Draw,2015,4,6,-12,,,,,Turkey,South Korea,,,
99,10-04-2015,WC Qualifier,Italy,USA,11,29,2095,2165,2,0,2,2.83,2.03,57,69,27,1,1,Home Win,2015,4,2,-18,,,,,Italy,USA,,,
100,11-04-2015,World Cup,Poland,Brazil,8,17,2023,1947,2,4,-2,2.65,3.7,85,44,61,1,1,Away Win,2015,4,6,-9,,,,,Poland,Brazil,,,
101,12-04-2015,World Cup,Colombia,Argentina,11,26,2034,1891,1,3,-2,4.86,3.85,80,85,28,1,0,Away Win,2015,4,4,-15,,,,,Colombia,Argentina,,,
102,13-04-2015,World Cup,Turkey,Australia,1,1,2100,1822,2,5,-3,2.81,3.16,59,76,42,1,0,Away Win,2015,4,7,0,,,,,Turkey,Australia,,,
103,14-04-2015,Friendly,Japan,Morocco,27,23,1979,2073,2,1,1,3.75,2.26,49,52,26,1,1,Home Win,2015,4,3,4,,,,,Japan,Morocco,,,
104,15-04-2015,Nations League,Sweden,Spain,3,4,1888,1958,3,4,-1,3.03,3.59,78,60,64,1,1,Away Win,2015,4,7,-1,,,,,Sweden,Spain,,,
105,16-04-2015,Nations League,Switzerland,Nigeria,30,9,1910,1818,2,4,-2,4.65,2.46,43,83,58,1,0,Away Win,2015,4,6,21,,,,,Switzerland,Nigeria,,,
106,17-04-2015,Friendly,Switzerland,Denmark,10,4,2186,2083,1,3,-2,2.43,3,66,62,40,0,1,Away Win,2015,4,4,6,,,,,Switzerland,Denmark,,,
107,18-04-2015,Nations League,Argentina,Nigeria,7,27,2175,2155,5,5,0,2.37,2.61,54,51,49,0,0,Draw,2015,4,10,-20,,,,,Argentina,Nigeria,,,
108,19-04-2015,World Cup,Austria,Croatia,1,9,1845,2173,2,5,-3,4.86,2.52,65,80,65,0,1,Away Win,2015,4,7,-8,,,,,Austria,Croatia,,,
109,20-04-2015,Nations League,Australia,Japan,13,29,1846,1988,1,5,-4,4.84,2.79,40,72,54,1,1,Away Win,2015,4,6,-16,,,,,Australia,Japan,,,
110,21-04-2015,WC Qualifier,Sweden,Netherlands,28,30,1902,2123,1,3,-2,2.17,2.38,72,68,39,0,1,Away Win,2015,4,4,-2,,,,,Sweden,Netherlands,,,
111,22-04-2015,World Cup,Australia,Argentina,17,17,2025,1952,1,5,-4,3.8,4.12,40,53,57,0,0,Away Win,2015,4,6,0,,,,,Australia,Argentina,,,
112,23-04-2015,Friendly,Germany,Uruguay,8,8,2030,2128,0,0,0,3.73,4.35,72,54,35,0,1,Draw,2015,4,0,0,,,,,Germany,Uruguay,,,
113,24-04-2015,Continental Cup,Argentina,Australia,8,28,1906,1791,2,0,2,2.3,3.06,78,85,35,1,0,Home Win,2015,4,2,-20,,,,,Argentina,Australia,,,
114,25-04-2015,WC Qualifier,Australia,Nigeria,15,13,2128,2106,2,4,-2,3.52,4.16,74,65,57,0,1,Away Win,2015,4,6,2,,,,,Australia,Nigeria,,,
115,26-04-2015,World Cup,Austria,Portugal,8,2,2071,1955,5,5,0,4.99,4.2,45,82,29,1,0,Draw,2015,4,10,6,,,,,Austria,Portugal,,,
116,27-04-2015,Continental Cup,Netherlands,Serbia,27,8,1947,2061,1,5,-4,3.33,3.8,75,68,54,1,0,Away Win,2015,4,6,19,,,,,Netherlands,Serbia,,,
117,28-04-2015,World Cup,Sweden,Switzerland,1,12,1815,2009,0,5,-5,2.63,2.62,83,75,62,1,0,Away Win,2015,4,5,-11,,,,,Sweden,Switzerland,,,
118,29-04-2015,Nations League,Poland,Argentina,6,10,1851,1952,2,0,2,2.94,4.61,49,68,29,0,1,Home Win,2015,4,2,-4,,,,,Poland,Argentina,,,
119,30-04-2015,WC Qualifier,Turkey,Senegal,9,5,1846,1971,3,1,2,2.53,3.59,62,72,51,0,1,Home Win,2015,4,4,4,,,,,Turkey,Senegal,,,
120,01-05-2015,Nations League,Senegal,France,1,17,1968,2024,1,1,0,2.98,3.16,72,82,59,1,0,Draw,2015,5,2,-16,,,,,Senegal,France,,,
121,02-05-2015,Nations League,Canada,Mexico,6,7,1907,1873,0,0,0,2.8,2.31,79,60,48,1,1,Draw,2015,5,0,-1,,,,,Canada,Mexico,,,
122,03-05-2015,World Cup,Croatia,Morocco,23,23,1915,2113,3,0,3,2.02,4.02,68,73,28,1,1,Home Win,2015,5,3,0,,,,,Croatia,Morocco,,,
123,04-05-2015,Nations League,Croatia,Turkey,26,7,1871,2077,4,0,4,3.65,4.69,69,68,50,0,1,Home Win,2015,5,4,19,,,,,Croatia,Turkey,,,
124,05-05-2015,Friendly,Spain,Serbia,1,13,2078,2188,5,4,1,2.35,4.65,59,58,41,1,0,Home Win,2015,5,9,-12,,,,,Spain,Serbia,,,
125,06-05-2015,Nations League,France,Turkey,26,13,1766,1799,2,0,2,2.28,2.95,50,48,56,0,1,Home Win,2015,5,2,13,,,,,France,Turkey,,,
126,07-05-2015,WC Qualifier,Senegal,Canada,17,14,1890,2037,5,5,0,2.28,4.43,63,70,39,0,0,Draw,2015,5,10,3,,,,,Senegal,Canada,,,
127,08-05-2015,Continental Cup,Colombia,Norway,7,30,2030,2048,4,4,0,2.95,3.55,83,51,29,1,1,Draw,2015,5,8,-23,,,,,Colombia,Norway,,,
128,09-05-2015,World Cup,USA,Japan,21,27,1940,2177,5,2,3,4.06,4.17,62,48,63,0,0,Home Win,2015,5,7,-6,,,,,USA,Japan,,,
129,10-05-2015,World Cup,Sweden,Netherlands,19,7,1919,2020,4,3,1,4.68,2.88,83,64,45,0,0,Home Win,2015,5,7,12,,,,,Sweden,Netherlands,,,
130,11-05-2015,Continental Cup,Morocco,Sweden,16,30,2103,1844,3,2,1,3.85,4.72,67,76,62,1,1,Home Win,2015,5,5,-14,,,,,Morocco,Sweden,,,
131,12-05-2015,Nations League,Germany,Austria,25,26,1916,2185,4,1,3,2.54,4.82,57,60,49,0,0,Home Win,2015,5,5,-1,,,,,Germany,Austria,,,
132,13-05-2015,Friendly,England,Germany,17,26,1942,1817,0,2,-2,2.09,2.42,63,56,32,1,1,Away Win,2015,5,2,-9,,,,,England,Germany,,,
133,14-05-2015,Continental Cup,Netherlands,Germany,13,1,2038,2153,4,4,0,3.39,2.75,43,42,43,1,1,Draw,2015,5,8,12,,,,,Netherlands,Germany,,,
134,15-05-2015,World Cup,Senegal,England,2,2,2098,2027,1,2,-1,2.49,2.1,62,54,27,0,1,Away Win,2015,5,3,0,,,,,Senegal,England,,,
135,16-05-2015,Continental Cup,Portugal,Uruguay,3,20,2188,1758,1,4,-3,4.96,4.06,66,66,33,0,1,Away Win,2015,5,5,-17,,,,,Portugal,Uruguay,,,
136,17-05-2015,Nations League,Serbia,Austria,28,13,1858,1889,1,4,-3,3.22,3.78,78,40,45,0,0,Away Win,2015,5,5,15,,,,,Serbia,Austria,,,
137,18-05-2015,World Cup,Sweden,Senegal,30,6,1943,2108,2,3,-1,3.64,4.5,54,80,50,0,1,Away Win,2015,5,5,24,,,,,Sweden,Senegal,,,
138,19-05-2015,WC Qualifier,Colombia,USA,11,11,2186,1997,0,4,-4,4.21,2.94,55,41,46,1,1,Away Win,2015,5,4,0,,,,,Colombia,USA,,,
139,20-05-2015,WC Qualifier,Mexico,Croatia,26,15,2163,1911,2,1,1,2.42,3.16,44,49,49,0,1,Home Win,2015,5,3,11,,,,,Mexico,Croatia,,,
140,21-05-2015,Friendly,Serbia,Norway,4,5,1777,2192,1,0,1,4.18,4.34,80,66,40,0,1,Home Win,2015,5,1,-1,,,,,Serbia,Norway,,,
141,22-05-2015,Continental Cup,Australia,Switzerland,30,11,1886,2126,2,2,0,2.72,4.99,56,72,64,0,1,Draw,2015,5,4,19,,,,,Australia,Switzerland,,,
142,23-05-2015,Nations League,Norway,Italy,12,15,1755,1765,2,4,-2,3.54,3.86,67,84,47,1,0,Away Win,2015,5,6,-3,,,,,Norway,Italy,,,
143,24-05-2015,WC Qualifier,Croatia,Senegal,15,18,2197,1962,2,3,-1,3.09,4.71,59,63,47,0,0,Away Win,2015,5,5,-3,,,,,Croatia,Senegal,,,
144,25-05-2015,Continental Cup,England,Spain,6,25,2118,1966,2,3,-1,2.69,2.66,62,45,34,0,0,Away Win,2015,5,5,-19,,,,,England,Spain,,,
145,26-05-2015,Continental Cup,Nigeria,Uruguay,21,20,1842,1754,5,2,3,3.89,3.58,40,41,33,0,0,Home Win,2015,5,7,1,,,,,Nigeria,Uruguay,,,
146,27-05-2015,World Cup,Austria,Brazil,27,22,1963,1791,2,4,-2,2.49,3.14,68,70,49,0,0,Away Win,2015,5,6,5,,,,,Austria,Brazil,,,
147,28-05-2015,Friendly,Morocco,Nigeria,28,13,1805,1766,0,3,-3,3.06,4.48,60,59,28,0,1,Away Win,2015,5,3,15,,,,,Morocco,Nigeria,,,
